Feature,Importance
sdh_pos,0.23861960235701296
ICD_S06.5,0.1554628656066889
ICD_432.1,0.1155503275348056
neurosurgeri_pos,0.08634908927801033
subdur_pos,0.04578991324451792
evacu_pos,0.0455173719559318
ct head_pos,0.028284024172772506
ICD_I62.0,0.024746923880893668
midlin shift_pos,0.02406671215244365
head ct_pos,0.020381484672796903
craniotomi_pos,0.019976947698974422
MRI,0.019292224489390816
brain injuri_pos,0.015073239127017959
hematoma_pos,0.014870784289417772
scan_pos,0.014569979186515791
trauma_pos,0.010128513087798984
chronic sdh_pos,0.00877484129852122
tbi_pos,0.007542514282718925
CT,0.007270289395328721
ICD_852.2or3,0.007236093357163041
acut sdh_pos,0.006516096183559095
thick_pos,0.005220893237899433
intracrani hemorrhag_pos,0.005104679972670386
drainag_pos,0.004912365382747182
burr hole_pos,0.00484454006448485
history_sdh,0.0047456155789009705
intraparenchym hemorrhag_pos,0.004298454131452075
scan_neg,0.004138738566092931
brain mri_pos,0.00412106597047702
stabl sdh_pos,0.003947908440309062
craniectomi_pos,0.0037204722172455755
recent sdh_pos,0.0035430513242956465
herniat_pos,0.0033182394001129677
known sdh_pos,0.0027724924961019274
trauma_neg,0.002762746105230365
mva_pos,0.0027199434882806744
sdh_neg,0.00264283601644992
midlin shift_neg,0.0025738465217908218
intracrani hemorrhag_neg,0.002382880044608077
herniat_neg,0.0021159260307854377
prior sdh_pos,0.002017675561146471
ct head_neg,0.0017080744335212996
tentorium_pos,0.0015677782026680149
neurosurgeri_neg,0.0013494276332257445
drainag_neg,0.0013493435304122408
hematoma_neg,0.0010931227493252264
resolv sdh_pos,0.0010741447311404802
neurosurg intervent_neg,0.0010354733554148335
chronic sdh_neg,0.0008452640096297164
mvc_pos,0.0007061169951657335
head ct_neg,0.0003464474361439531
evacu_neg,0.00028811260256086187
neurosurg intervent_pos,0.0002666747766998543
known sdh_neg,0.00014141945580528078
mva_neg,0.00010426675510256211
brain mri_neg,4.644496467098514e-05
thick_neg,4.339954830426818e-05
intraparenchym hemorrhag_neg,3.806654556269299e-05
craniotomi_neg,3.7090002077644486e-05
brain injuri_neg,3.2316448157713224e-05
recent sdh_neg,2.8080210483043315e-06
tbi_neg,0.0
tentorium_neg,0.0
subdur_neg,0.0
stabl sdh_neg,0.0
prior sdh_neg,0.0
resolv sdh_neg,0.0
craniectomi_neg,0.0
burr hole_neg,0.0
acut sdh_neg,0.0
mvc_neg,0.0
